"","V1","V2","V3"
"1166",658,651,655
"1167",662,657,758
"1168",716,665,666
"1169",656,658,661
"1170",659,758,673
"1171",659,664,663
"1172",604,770,119
"1173",661,595,714
"1174",665,661,658
"1175",739,660,715
"1176",758,657,656
"1177",663,662,659
"1178",659,667,664
"1179",647,663,593
"1180",664,529,670
"1181",672,593,663
"1182",655,719,665
"1183",661,665,660
"1184",719,666,665
"1185",644,652,713
"1186",673,758,669
"1187",529,667,534
"1188",671,670,529
"1189",671,533,675
"1190",661,714,656
"1191",692,727,691
"1192",532,671,529
"1193",672,670,668
"1194",699,533,594
"1195",668,670,671
"1196",676,672,668
"1197",672,631,708
"1198",659,673,667
"1199",674,673,669
"1200",669,714,734
"1201",736,737,674
"1202",724,741,700
"1203",668,671,675
"1204",759,676,668
"1205",631,676,634
"1206",573,680,678
"1207",64,677,680
"1208",681,677,65
"1209",467,679,571
"1210",479,678,679
"1211",64,680,573
"1212",681,680,677
"1213",682,681,65
"1214",139,678,681
"1215",122,682,65
"1216",139,682,140
"1217",482,63,721
"1218",474,478,683
"1219",740,573,474
"1220",575,64,684
"1221",685,335,686
"1222",484,577,685
"1223",335,688,686
"1224",688,585,689
"1225",528,531,738
"1226",685,687,484
"1227",335,336,760
"1228",689,585,485
"1229",689,485,530
"1230",686,688,689
"1231",151,690,269
"1232",293,201,722
"1233",267,578,691
"1234",737,531,720
"1235",669,734,736
"1236",735,728,701
"1237",586,693,251
"1238",585,232,693
"1239",480,694,477
"1240",332,694,470
"1241",513,695,506
"1242",588,695,587
"1243",516,696,515
"1244",697,696,518
"1245",570,697,316
"1246",696,697,589
"1247",515,698,519
"1248",592,741,699
"1249",533,699,675
"1250",524,698,699
"1251",589,463,761
"1252",565,775,763
"1253",727,701,726
"1254",692,734,735
"1255",703,702,142
"1256",539,702,362
"1257",703,142,124
"1258",362,703,542
"1259",351,612,704
"1260",702,704,612
"1261",582,705,583
"1262",764,705,487
"1263",731,706,730
"1264",742,733,158
"1265",299,628,707
"1266",628,730,764
"1267",631,633,708
"1268",648,708,633
"1269",567,635,709
"1270",460,709,635
"1271",711,710,406
"1272",460,710,638
"1273",397,711,406
"1274",409,638,711
"1275",117,712,158
"1276",713,148,666
"1277",713,666,719
"1278",653,712,713
"1279",714,595,734
"1280",758,714,669
"1281",716,718,774
"1282",595,729,728
"1283",766,767,765
"1284",665,716,660
"1285",773,766,717
"1286",717,769,773
"1287",715,660,774
"1288",654,719,655
"1289",713,719,644
"1290",536,720,531
"1291",534,674,720
"1292",575,684,740
"1293",482,721,683
"1294",579,722,182
"1295",293,722,690
"1296",761,723,589
"1297",592,723,700
"1298",700,762,763
"1299",634,775,565
"1300",599,725,597
"1301",726,725,270
"1302",727,726,364
"1303",725,726,701
"1304",691,727,364
"1305",735,727,692
"1306",595,739,729
"1307",725,728,597
"1308",729,715,772
"1309",597,728,729
"1310",731,730,562
"1311",730,706,764
"1312",562,114,731
"1313",733,731,114
"1314",653,742,158
"1315",757,776,649
"1316",158,733,114
"1317",706,733,732
"1318",595,728,735
"1319",736,734,692
"1320",735,701,727
"1321",595,735,734
"1322",736,692,737
"1323",669,736,674
"1324",692,578,737
"1325",578,484,738
"1326",531,737,738
"1327",578,738,737
"1328",660,739,661
"1329",729,739,715
"1330",573,740,684
"1331",683,740,474
"1332",700,741,592
"1333",759,741,724
"1334",649,742,653
"1335",733,742,732
"1336",181,743,149
"1337",94,743,153
"1338",160,744,68
"1339",122,66,744
"1340",32,745,134
"1341",168,188,745
"1342",192,746,173
"1343",340,746,177
"1344",214,227,747
"1345",167,747,227
"1346",301,107,748
"1347",750,748,108
"1348",627,750,300
"1349",748,750,749
"1350",321,751,331
"1351",588,751,316
"1352",752,133,260
"1353",539,752,262
"1354",413,753,414
"1355",561,753,419
"1356",342,754,252
"1357",339,755,344
"1358",505,755,339
"1359",754,344,755
"1360",363,756,262
"1361",159,537,756
"1362",776,757,620
"1363",652,757,649
"1364",662,758,659
"1365",714,758,656
"1366",668,675,759
"1367",759,675,741
"1368",585,760,232
"1369",335,760,688
"1370",569,761,463
"1371",762,314,453
"1372",700,761,762
"1373",314,762,761
"1374",565,763,453
"1375",700,763,724
"1376",764,622,705
"1377",764,707,628
"1378",717,766,765
"1379",767,716,148
"1380",767,766,718
"1381",716,767,718
"1382",767,148,768
"1383",768,148,712
"1384",765,768,118
"1385",119,770,769
"1386",774,771,772
"1387",771,770,600
"1388",600,729,772
"1389",766,773,718
"1390",772,715,774
"1391",600,772,771
"1392",770,773,769
"1393",773,771,718
"1394",716,774,660
"1395",774,718,771
"1396",759,775,634
"1397",763,775,724
"1398",620,777,776
"1399",776,777,778
"1400",621,777,620
"1401",778,777,622
"1402",764,778,622
"1403",732,778,706
